user_id,age,gender,location,income_level,activity_score,rewards
1,42,Female,Mumbai,Medium,70,Voucher;TShirt;GiftCard
2,28,Female,Kolkata,High,64,Cashback;GiftCard;TShirt
3,55,Male,Mumbai,Low,88,Coupon10;GiftCard
4,44,Female,Kolkata,Medium,85,GiftCard
5,37,Male,Delhi,High,12,TShirt
6,41,Male,Bangalore,High,65,Coupon10
7,39,Other,Chennai,Medium,72,Voucher
8,37,Female,Delhi,High,92,Voucher
9,22,Female,Delhi,Low,55,Cashback
10,44,Female,Delhi,High,7,Voucher
11,24,Female,Chennai,Low,29,Coupon10;Cashback;Voucher
12,23,Other,Kolkata,Low,31,TShirt;Coupon10;Cashback
13,45,Other,Bangalore,Medium,20,GiftCard;TShirt;Coupon10
14,26,Male,Delhi,Low,77,Voucher;Coupon10;Cashback
15,57,Other,Mumbai,Low,39,TShirt
16,22,Other,Kolkata,Medium,20,Voucher;GiftCard
17,39,Female,Chennai,High,91,Cashback;Coupon10;GiftCard
18,40,Male,Chennai,Low,82,Cashback
19,32,Other,Bangalore,Medium,76,Cashback
20,18,Other,Kolkata,Low,39,TShirt
21,29,Other,Bangalore,Low,64,TShirt;Voucher;Cashback
22,21,Other,Mumbai,High,83,Voucher
23,40,Other,Mumbai,Medium,47,GiftCard;TShirt;Coupon10
24,25,Female,Mumbai,Medium,15,Voucher;GiftCard
25,52,Other,Mumbai,Medium,9,TShirt;GiftCard
26,36,Other,Delhi,Low,12,Coupon10;TShirt
27,60,Female,Mumbai,Low,65,GiftCard;Voucher
28,43,Male,Kolkata,High,50,GiftCard
29,38,Other,Chennai,High,63,GiftCard;Coupon10
30,59,Female,Delhi,High,71,Voucher;Coupon10;TShirt
31,30,Male,Delhi,High,89,TShirt;GiftCard;Coupon10
32,23,Female,Mumbai,Low,8,Coupon10;TShirt
33,42,Female,Bangalore,Low,31,Coupon10;Voucher
34,37,Male,Bangalore,Low,2,Cashback;TShirt;GiftCard
35,26,Female,Kolkata,Medium,90,Cashback;Coupon10
36,56,Other,Delhi,Low,84,Cashback;GiftCard;TShirt
37,44,Other,Mumbai,High,71,Coupon10;TShirt
38,36,Male,Bangalore,High,40,Voucher;TShirt
39,38,Male,Delhi,High,93,Coupon10;Voucher
40,43,Male,Kolkata,Medium,85,Voucher
41,29,Female,Kolkata,High,53,Voucher
42,19,Male,Chennai,Medium,39,Voucher;TShirt
43,27,Female,Bangalore,High,53,TShirt;Coupon10
44,58,Female,Bangalore,High,35,GiftCard;TShirt
45,21,Male,Bangalore,High,57,TShirt
46,28,Other,Kolkata,High,58,TShirt
47,41,Male,Delhi,Low,16,Coupon10;TShirt
48,31,Other,Chennai,Low,38,GiftCard
49,41,Female,Kolkata,Medium,8,Coupon10
50,43,Other,Chennai,Medium,49,Cashback;Coupon10
51,55,Other,Chennai,Low,86,TShirt
52,20,Male,Kolkata,High,93,Voucher;Coupon10;Cashback
53,59,Female,Mumbai,Medium,94,GiftCard
54,56,Other,Bangalore,High,77,TShirt;GiftCard
55,20,Other,Kolkata,High,24,Cashback
56,26,Male,Bangalore,High,5,GiftCard;Cashback;Coupon10
57,49,Other,Mumbai,Low,65,GiftCard;Coupon10
58,56,Female,Chennai,Low,44,Coupon10;TShirt;Cashback
59,31,Other,Chennai,Medium,70,Cashback;TShirt
60,25,Other,Bangalore,Low,21,Voucher;GiftCard
61,35,Female,Kolkata,Medium,52,GiftCard;Voucher;Cashback
62,58,Male,Mumbai,Medium,79,GiftCard;Voucher;Cashback
63,38,Male,Kolkata,High,53,Voucher
64,47,Other,Chennai,Low,70,TShirt;Cashback;GiftCard
65,46,Male,Mumbai,High,62,Voucher;Coupon10
66,58,Female,Chennai,High,80,Cashback
67,27,Other,Mumbai,Low,46,GiftCard;TShirt;Coupon10
68,25,Female,Delhi,Low,54,Coupon10
69,24,Female,Mumbai,High,41,Voucher;TShirt;Cashback
70,29,Female,Delhi,Medium,11,Cashback
71,20,Female,Chennai,High,91,Cashback
72,29,Other,Mumbai,Low,33,Coupon10;Cashback
73,33,Female,Delhi,Medium,4,Coupon10;TShirt
74,53,Male,Bangalore,Low,21,Cashback;TShirt
75,58,Male,Chennai,High,43,Coupon10
76,19,Other,Mumbai,High,59,TShirt;Cashback
77,34,Other,Mumbai,Medium,61,Coupon10;Voucher
78,30,Male,Kolkata,Low,39,GiftCard
79,29,Female,Delhi,High,42,GiftCard;TShirt
80,39,Female,Kolkata,Medium,69,TShirt;GiftCard;Voucher
81,23,Female,Chennai,Low,81,Cashback;Voucher;TShirt
82,40,Other,Kolkata,High,51,TShirt
83,29,Male,Mumbai,Medium,74,TShirt;GiftCard
84,59,Other,Mumbai,High,40,Coupon10;GiftCard
85,48,Female,Mumbai,Medium,25,Coupon10;Voucher;TShirt
86,29,Male,Chennai,Low,74,Coupon10;Voucher;Cashback
87,49,Male,Kolkata,High,98,Voucher;Coupon10;Cashback
88,55,Female,Chennai,High,49,Voucher;Coupon10;Cashback
89,37,Other,Mumbai,Low,51,GiftCard;TShirt
90,20,Female,Chennai,Low,3,GiftCard
91,35,Other,Mumbai,Medium,18,Coupon10;TShirt;GiftCard
92,27,Other,Kolkata,Medium,33,Voucher
93,57,Female,Mumbai,Low,33,TShirt;GiftCard;Coupon10
94,47,Male,Kolkata,Medium,45,TShirt;Cashback;Voucher
95,42,Other,Kolkata,Medium,74,TShirt;Voucher;Cashback
96,35,Other,Delhi,Low,75,TShirt;Coupon10
97,30,Male,Delhi,Low,79,Voucher
98,25,Other,Mumbai,High,67,GiftCard;Cashback;Coupon10
99,54,Female,Kolkata,Medium,89,Cashback
100,47,Male,Chennai,Medium,79,TShirt;GiftCard
101,42,Female,Chennai,Low,86,Voucher;Coupon10;GiftCard
102,22,Other,Delhi,High,52,Coupon10
103,25,Male,Bangalore,High,79,Voucher
104,40,Other,Chennai,Low,25,Voucher;Cashback
105,25,Other,Mumbai,Medium,98,GiftCard;Cashback
106,28,Female,Chennai,High,62,Cashback;Voucher
107,38,Other,Bangalore,Low,17,Cashback
108,23,Other,Mumbai,Low,65,TShirt;Voucher
109,38,Male,Kolkata,Low,92,GiftCard
110,32,Female,Kolkata,Low,92,Coupon10;Voucher
111,21,Other,Bangalore,Medium,93,Voucher;TShirt;Coupon10
112,35,Female,Mumbai,Medium,58,Voucher
113,50,Male,Kolkata,Low,46,Cashback;TShirt;GiftCard
114,48,Female,Chennai,Low,45,Voucher;Cashback;GiftCard
115,25,Other,Delhi,Medium,21,GiftCard;TShirt;Voucher
116,59,Other,Delhi,Low,37,Coupon10
117,53,Other,Delhi,Medium,51,Cashback
118,39,Male,Mumbai,Low,33,Coupon10
119,54,Other,Chennai,High,56,Coupon10;GiftCard;Voucher
120,33,Male,Delhi,Medium,22,Cashback
121,42,Other,Mumbai,High,42,TShirt;Voucher
122,21,Male,Delhi,High,43,Cashback
123,41,Male,Kolkata,Medium,45,Voucher;TShirt;GiftCard
124,56,Female,Kolkata,Medium,2,Voucher;Cashback
125,53,Male,Chennai,Low,18,Voucher;TShirt;Coupon10
126,40,Male,Mumbai,Medium,26,Voucher;GiftCard;TShirt
127,44,Other,Delhi,High,88,TShirt;GiftCard;Voucher
128,26,Male,Bangalore,Medium,81,Voucher;TShirt
129,40,Male,Bangalore,Medium,13,GiftCard;Coupon10
130,51,Other,Chennai,Low,85,Voucher;Coupon10
131,41,Male,Bangalore,Low,34,TShirt;Coupon10
132,38,Male,Kolkata,High,96,TShirt;Voucher
133,34,Other,Delhi,High,68,Cashback;Coupon10;TShirt
134,50,Male,Bangalore,High,33,GiftCard
135,22,Male,Chennai,High,91,Cashback;GiftCard
136,25,Male,Delhi,Low,51,Coupon10;GiftCard;Voucher
137,35,Male,Mumbai,High,18,Voucher;GiftCard;Coupon10
138,38,Female,Kolkata,Low,100,Voucher;TShirt;Cashback
139,32,Male,Mumbai,Medium,61,Cashback;GiftCard
140,33,Other,Mumbai,Low,64,Voucher;Coupon10;Cashback
141,56,Male,Delhi,High,48,Cashback;Coupon10;Voucher
142,24,Male,Chennai,Low,80,GiftCard;Coupon10;Voucher
